ltable_id,rtable_id,label,block_id,entity_a,entity_b,entity_a_title,entity_b_title
0,1878,1,pack,title: clickart 950 000 premier image pack ( dvd-rom ); manufacturer: broderbund; price: nan,title: clickart 950000 premier image pack ( dvd-rom ); manufacturer: nan; price: 48.95,clickart 950 000 premier image pack ( dvd-rom ),clickart 950000 premier image pack ( dvd-rom )
892,2393,0,premieremier,title: adobe premiere pro cs3; manufacturer: adobe; price: 799.0,title: adobe production premium cs3 software suite for mac av production software; manufacturer: nan; price: 1698.95,adobe premiere pro cs3,adobe production premium cs3 software suite for mac av production software
521,1864,0,dvd,title: microsoft sql server developer edition 2005 cd/dvd; manufacturer: microsoft software; price: 49.95,title: 124-00458 microsoft visual studio team edition 2005 for software developers complete pac; manufacturer: nan; price: 5159.29,microsoft sql server developer edition 2005 cd/dvd,124-00458 microsoft visual studio team edition 2005 for software developers complete pac
523,3094,0,dvd,title: microsoft windows vista ultimate full version [ dvd ]; manufacturer: microsoft; price: 399.95,title: adobe ( r ) photoshop ( r ) cs windows full version; manufacturer: nan; price: 590.92,microsoft windows vista ultimate full version [ dvd ],adobe ( r ) photoshop ( r ) cs windows full version
542,2236,0,dvd,title: apple ilife '06 ( mac dvd ) [ older version ]; manufacturer: apple computer; price: 79.0,title: apple ilife '06 family pack software av production software; manufacturer: nan; price: 99.0,apple ilife '06 ( mac dvd ) [ older version ],apple ilife '06 family pack software av production software
550,3094,0,dvd,title: windows vista business spanish full version [ dvd ]; manufacturer: microsoft; price: 329.95,title: adobe ( r ) photoshop ( r ) cs windows full version; manufacturer: nan; price: 590.92,windows vista business spanish full version [ dvd ],adobe ( r ) photoshop ( r ) cs windows full version
584,3094,0,dvd,title: microsoft windows vista business full version [ dvd ]; manufacturer: microsoft; price: 299.95,title: adobe ( r ) photoshop ( r ) cs windows full version; manufacturer: nan; price: 590.92,microsoft windows vista business full version [ dvd ],adobe ( r ) photoshop ( r ) cs windows full version
591,2236,0,dvd,title: apple iwork '06 family pack ( mac dvd ) [ older version ]; manufacturer: apple; price: 99.0,title: apple ilife '06 family pack software av production software; manufacturer: nan; price: 99.0,apple iwork '06 family pack ( mac dvd ) [ older version ],apple ilife '06 family pack software av production software
733,2934,1,dvd,title: clickart 1.2 million dvd 2006 by broderbund; manufacturer: encore software; price: 49.99,title: encore software 10466 clickart 1.2 million dvd 2006 by broderbund; manufacturer: nan; price: 41.97,clickart 1.2 million dvd 2006 by broderbund,encore software 10466 clickart 1.2 million dvd 2006 by broderbund
802,2247,0,dvd,title: final draft 7/syd field 's screenwriting workshop dvd bundle; manufacturer: final draft; price: 249.99,title: final-draft final draft 7 screen writing software mac/win screen writing software; manufacturer: nan; price: 249.95,final draft 7/syd field 's screenwriting workshop dvd bundle,final-draft final draft 7 screen writing software mac/win screen writing software
816,1852,0,dvd,title: microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ); manufacturer: microsoft; price: 10949.0,title: 122-00411 microsoft visual studio 2005 team edition for software testers complete packag; manufacturer: nan; price: 2184.73,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),122-00411 microsoft visual studio 2005 team edition for software testers complete packag
816,1864,0,dvd,title: microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ); manufacturer: microsoft; price: 10949.0,title: 124-00458 microsoft visual studio team edition 2005 for software developers complete pac; manufacturer: nan; price: 5159.29,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),124-00458 microsoft visual studio team edition 2005 for software developers complete pac
860,2236,1,dvd,title: apple ilife '06 family pack ( mac dvd ) [ older version ]; manufacturer: apple computer; price: 99.0,title: apple ilife '06 family pack software av production software; manufacturer: nan; price: 99.0,apple ilife '06 family pack ( mac dvd ) [ older version ],apple ilife '06 family pack software av production software
1187,2934,0,dvd,title: clickart 1.2 million 2006 dvd; manufacturer: encore software; price: nan,title: encore software 10466 clickart 1.2 million dvd 2006 by broderbund; manufacturer: nan; price: 41.97,clickart 1.2 million 2006 dvd,encore software 10466 clickart 1.2 million dvd 2006 by broderbund
253,2174,0,8,title: filemaker mobile 8 for palm os and pocket pc; manufacturer: filemaker; price: 69.0,title: resco explorer 2007 for pocketpc windows mobile software for pocket pc; manufacturer: nan; price: 29.95,filemaker mobile 8 for palm os and pocket pc,resco explorer 2007 for pocketpc windows mobile software for pocket pc
654,1447,0,8,title: acrobat professional 8 ( windows ); manufacturer: adobe; price: 273.0,title: i copydvds 2 professional edition; manufacturer: me-too-software; price: 27.9,acrobat professional 8 ( windows ),i copydvds 2 professional edition
779,2100,0,8,title: 3d home architect landscape v. 8 by encore software; manufacturer: encore software; price: 39.99,title: encore software 10634 3d home architect home v. 8 by; manufacturer: nan; price: 33.97,3d home architect landscape v. 8 by encore software,encore software 10634 3d home architect home v. 8 by
814,3145,0,8,title: business plan writer deluxe 8.0 2005; manufacturer: nova development; price: 99.99,title: palo alto business plan pro 2007; manufacturer: nan; price: 83.99,business plan writer deluxe 8.0 2005,palo alto business plan pro 2007
1078,2083,0,8,title: 3d home architect home v. 8 by encore software; manufacturer: encore software; price: 39.99,title: encore software 11141 fate sb cs by wild games; manufacturer: nan; price: 17.97,3d home architect home v. 8 by encore software,encore software 11141 fate sb cs by wild games
1078,2100,1,8,title: 3d home architect home v. 8 by encore software; manufacturer: encore software; price: 39.99,title: encore software 10634 3d home architect home v. 8 by; manufacturer: nan; price: 33.97,3d home architect home v. 8 by encore software,encore software 10634 3d home architect home v. 8 by
1293,1447,0,8,title: systemsuite 8 professional; manufacturer: individual software; price: 49.99,title: i copydvds 2 professional edition; manufacturer: me-too-software; price: 27.9,systemsuite 8 professional,i copydvds 2 professional edition
15,3089,0,3,title: omnioutliner professional 3.0; manufacturer: csdc; price: 69.95,title: systemsuite 6 ( tm ) professional mini; manufacturer: nan; price: 49.99,omnioutliner professional 3.0,systemsuite 6 ( tm ) professional mini
107,3213,0,3,title: photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 ); manufacturer: adobe; price: 242.62,title: adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd; manufacturer: nan; price: 104.99,photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 ),adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd
208,1971,0,3,title: wasp bar code wasp bar code labeler complete package 3 users std cd -; manufacturer: wasp technologies; price: nan,title: 633808106058 wasp bar code labeler complete package 1 user win; manufacturer: nan; price: 37.91,wasp bar code wasp bar code labeler complete package 3 users std cd -,633808106058 wasp bar code labeler complete package 1 user win
233,3154,0,3,title: photo explosion deluxe 3.0; manufacturer: nova development; price: 49.99,title: photoshow deluxe; manufacturer: nan; price: 39.92,photo explosion deluxe 3.0,photoshow deluxe
251,1747,0,3,title: microsoft crm small business ed cal 3.0 license pack user cal; manufacturer: microsoft software; price: 9929.0,title: t07-00449 microsoft business solutions crm sales standard software assurance 1 user -; manufacturer: nan; price: 335.47,microsoft crm small business ed cal 3.0 license pack user cal,t07-00449 microsoft business solutions crm sales standard software assurance 1 user -
267,3213,0,3,title: adobe photoshop elements 5.0 / premier elements 3.0 [ lb ]; manufacturer: adobe; price: 149.99,title: adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd; manufacturer: nan; price: 104.99,adobe photoshop elements 5.0 / premier elements 3.0 [ lb ],adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd
273,3092,0,3,title: quickbooks credit card processing kit 3.0; manufacturer: intuit; price: 39.95,title: quickbooks ( r ) pro 2007; manufacturer: nan; price: 179.99,quickbooks credit card processing kit 3.0,quickbooks ( r ) pro 2007
364,3213,0,3,title: adobe premiere elements 3.0 [ lb ]; manufacturer: adobe; price: 99.99,title: adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd; manufacturer: nan; price: 104.99,adobe premiere elements 3.0 [ lb ],adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd
473,2485,1,3,title: pro photo essentials plug in suite & iview mediapro 3; manufacturer: onone software; price: 499.95,title: onone software inc. ppi-12005 pro photo essentials plug in suite & iview mediapro 3; manufacturer: nan; price: 450.97,pro photo essentials plug in suite & iview mediapro 3,onone software inc. ppi-12005 pro photo essentials plug in suite & iview mediapro 3
484,3019,0,3,title: adobe premiere elements 3.0; manufacturer: adobe; price: 161.73,title: premiere pro cs3 mac; manufacturer: nan; price: 808.15,adobe premiere elements 3.0,premiere pro cs3 mac
484,3213,0,3,title: adobe premiere elements 3.0; manufacturer: adobe; price: 161.73,title: adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd; manufacturer: nan; price: 104.99,adobe premiere elements 3.0,adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd
527,3019,0,3,title: adobe premiere elements 3.0; manufacturer: adobe; price: 99.99,title: premiere pro cs3 mac; manufacturer: nan; price: 808.15,adobe premiere elements 3.0,premiere pro cs3 mac
527,3213,0,3,title: adobe premiere elements 3.0; manufacturer: adobe; price: 99.99,title: adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd; manufacturer: nan; price: 104.99,adobe premiere elements 3.0,adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd
546,3213,0,3,title: adobe photoshop elements 5.0 premiere elements 3.0 bundle; manufacturer: adobe; price: 149.99,title: adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd; manufacturer: nan; price: 104.99,adobe photoshop elements 5.0 premiere elements 3.0 bundle,adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd
649,1477,0,3,title: mcafee total protection 2007 3 users; manufacturer: mcafee; price: 99.99,title: mcafee total protection 2007 for small business adv. w/1yr gold maintenance 5 -; manufacturer: nan; price: 215.5,mcafee total protection 2007 3 users,mcafee total protection 2007 for small business adv. w/1yr gold maintenance 5 -
722,2130,0,3,title: steinberg nuendo 3 digital audio software; manufacturer: steinberg; price: 2499.0,title: steinberg wavelab studio 6 audio editing software competitive crossgrade music production software; manufacturer: nan; price: 199.95,steinberg nuendo 3 digital audio software,steinberg wavelab studio 6 audio editing software competitive crossgrade music production software
1024,2399,0,3,title: punch super home suite 3.0; manufacturer: punch ! software; price: 49.99,title: punch software 35100 punch ! professional home design suite ( small box ); manufacturer: punch software; price: 62.99,punch super home suite 3.0,punch software 35100 punch ! professional home design suite ( small box )
419,3001,0,s,title: let 's make stickers; manufacturer: global software publishing; price: 19.95,title: let 's explore mars; manufacturer: nan; price: 8.95,let 's make stickers,let 's explore mars
802,2247,0,s,title: final draft 7/syd field 's screenwriting workshop dvd bundle; manufacturer: final draft; price: 249.99,title: final-draft final draft 7 screen writing software mac/win screen writing software; manufacturer: nan; price: 249.95,final draft 7/syd field 's screenwriting workshop dvd bundle,final-draft final draft 7 screen writing software mac/win screen writing software
916,2557,1,s,title: professor fuji 's sudoku ( jewel case ); manufacturer: encore software; price: 9.99,title: encore software 10313 professor fujis sudoku ( win 98 me 2000 xp ); manufacturer: nan; price: 8.27,professor fuji 's sudoku ( jewel case ),encore software 10313 professor fujis sudoku ( win 98 me 2000 xp )
1026,2247,0,s,title: final draft scriptwriter 's suite [ final draft 7 & final draft av2 ]; manufacturer: final draft; price: 349.99,title: final-draft final draft 7 screen writing software mac/win screen writing software; manufacturer: nan; price: 249.95,final draft scriptwriter 's suite [ final draft 7 & final draft av2 ],final-draft final draft 7 screen writing software mac/win screen writing software
443,3126,0,premiuremium,title: microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client; manufacturer: microsoft; price: 709.0,title: microsoft ( r ) windows vista ( tm ) business; manufacturer: nan; price: 199.99,microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client,microsoft ( r ) windows vista ( tm ) business
564,2532,0,premiuremium,title: h & r block taxcut 2006 premium federal; manufacturer: h & r block; price: 19.99,title: h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software; manufacturer: nan; price: 54.95,h & r block taxcut 2006 premium federal,h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software
579,2532,1,premiuremium,title: h & r block taxcut 2006 premium federal + state + efile; manufacturer: h & r block; price: 59.99,title: h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software; manufacturer: nan; price: 54.95,h & r block taxcut 2006 premium federal + state + efile,h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software
631,2532,0,premiuremium,title: h & r block taxcut 2006 premium federal + state with usb 256m flashdrive; manufacturer: h & r block; price: 39.99,title: h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software; manufacturer: nan; price: 54.95,h & r block taxcut 2006 premium federal + state with usb 256m flashdrive,h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software
443,3126,0,premiu,title: microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client; manufacturer: microsoft; price: 709.0,title: microsoft ( r ) windows vista ( tm ) business; manufacturer: nan; price: 199.99,microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client,microsoft ( r ) windows vista ( tm ) business
564,2532,0,premiu,title: h & r block taxcut 2006 premium federal; manufacturer: h & r block; price: 19.99,title: h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software; manufacturer: nan; price: 54.95,h & r block taxcut 2006 premium federal,h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software
579,2532,1,premiu,title: h & r block taxcut 2006 premium federal + state + efile; manufacturer: h & r block; price: 59.99,title: h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software; manufacturer: nan; price: 54.95,h & r block taxcut 2006 premium federal + state + efile,h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software
631,2532,0,premiu,title: h & r block taxcut 2006 premium federal + state with usb 256m flashdrive; manufacturer: h & r block; price: 39.99,title: h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software; manufacturer: nan; price: 54.95,h & r block taxcut 2006 premium federal + state with usb 256m flashdrive,h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software
70,1485,0,2007,title: diskeepeer 2007 admin upgrade sngl lic pack; manufacturer: diskeeper corporation; price: 200.0,title: diskeeper 2007 professional; manufacturer: nan; price: 46.95,diskeepeer 2007 admin upgrade sngl lic pack,diskeeper 2007 professional
79,1907,0,2007,title: ca internet security suite 2007 3 user; manufacturer: computer associates; price: 69.95,title: pcnf0040 pc-cillin internet security 2007 complete package 3 users federal win; manufacturer: nan; price: 29.02,ca internet security suite 2007 3 user,pcnf0040 pc-cillin internet security 2007 complete package 3 users federal win
175,1485,1,2007,title: diskeeper 2007 professional single lic pack; manufacturer: diskeeper corporation; price: 79.21,title: diskeeper 2007 professional; manufacturer: nan; price: 46.95,diskeeper 2007 professional single lic pack,diskeeper 2007 professional
212,1485,0,2007,title: diskeeper 2007 pro premier 10-lic pack; manufacturer: diskeeper corporation; price: 1372.21,title: diskeeper 2007 professional; manufacturer: nan; price: 46.95,diskeeper 2007 pro premier 10-lic pack,diskeeper 2007 professional
255,1485,0,2007,title: diskeeper 2007 pro premier 5-lic pack; manufacturer: diskeeper corporation; price: 736.66,title: diskeeper 2007 professional; manufacturer: nan; price: 46.95,diskeeper 2007 pro premier 5-lic pack,diskeeper 2007 professional
271,2497,0,2007,title: microsoft office small business 2007; manufacturer: microsoft software; price: 735.33,title: office pro 2007 upgrade microsoft 269-10294; manufacturer: nan; price: 257.71,microsoft office small business 2007,office pro 2007 upgrade microsoft 269-10294
271,2847,0,2007,title: microsoft office small business 2007; manufacturer: microsoft software; price: 735.33,title: microsoft office visio standard 2007 ( pc ); manufacturer: nan; price: 249.95,microsoft office small business 2007,microsoft office visio standard 2007 ( pc )
271,2848,0,2007,title: microsoft office small business 2007; manufacturer: microsoft software; price: 735.33,title: microsoft onenote 2007 upgrade ( pc ); manufacturer: nan; price: 79.95,microsoft office small business 2007,microsoft onenote 2007 upgrade ( pc )
312,2525,0,2007,title: norton antivirus 2007; manufacturer: symantec; price: 39.99,title: antivirus 2007 win uk ca av2007dgbp01e; manufacturer: nan; price: 13.1,norton antivirus 2007,antivirus 2007 win uk ca av2007dgbp01e
312,3168,0,2007,title: norton antivirus 2007; manufacturer: symantec; price: 39.99,title: norton antivirus 2004; manufacturer: nan; price: 49.99,norton antivirus 2007,norton antivirus 2004
316,1907,0,2007,title: f-secure internet security 2007 3 pcs; manufacturer: global-marketing-partners; price: 79.99,title: pcnf0040 pc-cillin internet security 2007 complete package 3 users federal win; manufacturer: nan; price: 29.02,f-secure internet security 2007 3 pcs,pcnf0040 pc-cillin internet security 2007 complete package 3 users federal win
346,1907,0,2007,title: mcafee internet security suite 2007 3 users; manufacturer: mcafee; price: 89.99,title: pcnf0040 pc-cillin internet security 2007 complete package 3 users federal win; manufacturer: nan; price: 29.02,mcafee internet security suite 2007 3 users,pcnf0040 pc-cillin internet security 2007 complete package 3 users federal win
377,1907,0,2007,title: pc cillin internet sec 2007 lics large box 3u; manufacturer: trend micro; price: 49.95,title: pcnf0040 pc-cillin internet security 2007 complete package 3 users federal win; manufacturer: nan; price: 29.02,pc cillin internet sec 2007 lics large box 3u,pcnf0040 pc-cillin internet security 2007 complete package 3 users federal win
425,3036,0,2007,title: hoyle card games 2007; manufacturer: encore software; price: 29.99,title: hoyle game collection 4 game pack; manufacturer: nan; price: 14.95,hoyle card games 2007,hoyle game collection 4 game pack
511,2497,0,2007,title: microsoft publisher 2007 version upgrade; manufacturer: microsoft; price: 99.95,title: office pro 2007 upgrade microsoft 269-10294; manufacturer: nan; price: 257.71,microsoft publisher 2007 version upgrade,office pro 2007 upgrade microsoft 269-10294
511,2847,0,2007,title: microsoft publisher 2007 version upgrade; manufacturer: microsoft; price: 99.95,title: microsoft office visio standard 2007 ( pc ); manufacturer: nan; price: 249.95,microsoft publisher 2007 version upgrade,microsoft office visio standard 2007 ( pc )
511,2848,0,2007,title: microsoft publisher 2007 version upgrade; manufacturer: microsoft; price: 99.95,title: microsoft onenote 2007 upgrade ( pc ); manufacturer: nan; price: 79.95,microsoft publisher 2007 version upgrade,microsoft onenote 2007 upgrade ( pc )
522,2364,0,2007,title: microsoft visio standard 2007; manufacturer: microsoft; price: 259.95,title: microsoft 059-03871 molpc word sa; manufacturer: nan; price: 111.78,microsoft visio standard 2007,microsoft 059-03871 molpc word sa
522,2847,1,2007,title: microsoft visio standard 2007; manufacturer: microsoft; price: 259.95,title: microsoft office visio standard 2007 ( pc ); manufacturer: nan; price: 249.95,microsoft visio standard 2007,microsoft office visio standard 2007 ( pc )
522,2848,0,2007,title: microsoft visio standard 2007; manufacturer: microsoft; price: 259.95,title: microsoft onenote 2007 upgrade ( pc ); manufacturer: nan; price: 79.95,microsoft visio standard 2007,microsoft onenote 2007 upgrade ( pc )
541,2364,0,2007,title: microsoft onenote 2007; manufacturer: microsoft; price: 99.95,title: microsoft 059-03871 molpc word sa; manufacturer: nan; price: 111.78,microsoft onenote 2007,microsoft 059-03871 molpc word sa
541,2847,0,2007,title: microsoft onenote 2007; manufacturer: microsoft; price: 99.95,title: microsoft office visio standard 2007 ( pc ); manufacturer: nan; price: 249.95,microsoft onenote 2007,microsoft office visio standard 2007 ( pc )
541,2848,0,2007,title: microsoft onenote 2007; manufacturer: microsoft; price: 99.95,title: microsoft onenote 2007 upgrade ( pc ); manufacturer: nan; price: 79.95,microsoft onenote 2007,microsoft onenote 2007 upgrade ( pc )
547,2364,0,2007,title: microsoft outlook 2007; manufacturer: microsoft; price: 109.95,title: microsoft 059-03871 molpc word sa; manufacturer: nan; price: 111.78,microsoft outlook 2007,microsoft 059-03871 molpc word sa
547,2847,0,2007,title: microsoft outlook 2007; manufacturer: microsoft; price: 109.95,title: microsoft office visio standard 2007 ( pc ); manufacturer: nan; price: 249.95,microsoft outlook 2007,microsoft office visio standard 2007 ( pc )
547,2848,0,2007,title: microsoft outlook 2007; manufacturer: microsoft; price: 109.95,title: microsoft onenote 2007 upgrade ( pc ); manufacturer: nan; price: 79.95,microsoft outlook 2007,microsoft onenote 2007 upgrade ( pc )
571,2497,0,2007,title: microsoft visio standard 2007 version upgrade; manufacturer: microsoft; price: 129.95,title: office pro 2007 upgrade microsoft 269-10294; manufacturer: nan; price: 257.71,microsoft visio standard 2007 version upgrade,office pro 2007 upgrade microsoft 269-10294
571,2847,0,2007,title: microsoft visio standard 2007 version upgrade; manufacturer: microsoft; price: 129.95,title: microsoft office visio standard 2007 ( pc ); manufacturer: nan; price: 249.95,microsoft visio standard 2007 version upgrade,microsoft office visio standard 2007 ( pc )
571,2848,0,2007,title: microsoft visio standard 2007 version upgrade; manufacturer: microsoft; price: 129.95,title: microsoft onenote 2007 upgrade ( pc ); manufacturer: nan; price: 79.95,microsoft visio standard 2007 version upgrade,microsoft onenote 2007 upgrade ( pc )
578,2497,0,2007,title: microsoft office excel 2007; manufacturer: microsoft; price: 229.95,title: office pro 2007 upgrade microsoft 269-10294; manufacturer: nan; price: 257.71,microsoft office excel 2007,office pro 2007 upgrade microsoft 269-10294
578,2847,0,2007,title: microsoft office excel 2007; manufacturer: microsoft; price: 229.95,title: microsoft office visio standard 2007 ( pc ); manufacturer: nan; price: 249.95,microsoft office excel 2007,microsoft office visio standard 2007 ( pc )
578,2848,0,2007,title: microsoft office excel 2007; manufacturer: microsoft; price: 229.95,title: microsoft onenote 2007 upgrade ( pc ); manufacturer: nan; price: 79.95,microsoft office excel 2007,microsoft onenote 2007 upgrade ( pc )
586,1485,0,2007,title: quickbooks premier professional services edition 2007; manufacturer: intuit; price: 399.95,title: diskeeper 2007 professional; manufacturer: nan; price: 46.95,quickbooks premier professional services edition 2007,diskeeper 2007 professional
587,2364,0,2007,title: microsoft word 2007 version upgrade; manufacturer: microsoft; price: 109.95,title: microsoft 059-03871 molpc word sa; manufacturer: nan; price: 111.78,microsoft word 2007 version upgrade,microsoft 059-03871 molpc word sa
587,2497,0,2007,title: microsoft word 2007 version upgrade; manufacturer: microsoft; price: 109.95,title: office pro 2007 upgrade microsoft 269-10294; manufacturer: nan; price: 257.71,microsoft word 2007 version upgrade,office pro 2007 upgrade microsoft 269-10294
587,2847,0,2007,title: microsoft word 2007 version upgrade; manufacturer: microsoft; price: 109.95,title: microsoft office visio standard 2007 ( pc ); manufacturer: nan; price: 249.95,microsoft word 2007 version upgrade,microsoft office visio standard 2007 ( pc )
587,2848,0,2007,title: microsoft word 2007 version upgrade; manufacturer: microsoft; price: 109.95,title: microsoft onenote 2007 upgrade ( pc ); manufacturer: nan; price: 79.95,microsoft word 2007 version upgrade,microsoft onenote 2007 upgrade ( pc )
604,2497,0,2007,title: microsoft office small business 2007 full version; manufacturer: microsoft; price: 449.95,title: office pro 2007 upgrade microsoft 269-10294; manufacturer: nan; price: 257.71,microsoft office small business 2007 full version,office pro 2007 upgrade microsoft 269-10294
604,2847,0,2007,title: microsoft office small business 2007 full version; manufacturer: microsoft; price: 449.95,title: microsoft office visio standard 2007 ( pc ); manufacturer: nan; price: 249.95,microsoft office small business 2007 full version,microsoft office visio standard 2007 ( pc )
604,2848,0,2007,title: microsoft office small business 2007 full version; manufacturer: microsoft; price: 449.95,title: microsoft onenote 2007 upgrade ( pc ); manufacturer: nan; price: 79.95,microsoft office small business 2007 full version,microsoft onenote 2007 upgrade ( pc )
858,2497,0,2007,title: microsoft onenote 2007 upgrade; manufacturer: microsoft; price: 79.95,title: office pro 2007 upgrade microsoft 269-10294; manufacturer: nan; price: 257.71,microsoft onenote 2007 upgrade,office pro 2007 upgrade microsoft 269-10294
858,2847,0,2007,title: microsoft onenote 2007 upgrade; manufacturer: microsoft; price: 79.95,title: microsoft office visio standard 2007 ( pc ); manufacturer: nan; price: 249.95,microsoft onenote 2007 upgrade,microsoft office visio standard 2007 ( pc )
858,2848,1,2007,title: microsoft onenote 2007 upgrade; manufacturer: microsoft; price: 79.95,title: microsoft onenote 2007 upgrade ( pc ); manufacturer: nan; price: 79.95,microsoft onenote 2007 upgrade,microsoft onenote 2007 upgrade ( pc )
895,3036,0,2007,title: hoyle card games 2007; manufacturer: encore software; price: 19.99,title: hoyle game collection 4 game pack; manufacturer: nan; price: 14.95,hoyle card games 2007,hoyle game collection 4 game pack
934,2525,0,2007,title: panda antivirus 2007; manufacturer: panda software; price: 29.95,title: antivirus 2007 win uk ca av2007dgbp01e; manufacturer: nan; price: 13.1,panda antivirus 2007,antivirus 2007 win uk ca av2007dgbp01e
