ltable_id,rtable_id,label,block_id,entity_a,entity_b,entity_a_title,entity_b_title,sub_block_id,sub_block_size
15,2141,0,0,title: omnioutliner professional 3.0; manufacturer: csdc; price: 69.95,title: system mechanic 6 professional; manufacturer: nan; price: 36.9,omnioutliner professional 3.0,system mechanic 6 professional,0_0,6
270,2154,0,0,title: adobe acrobat 7.0 professional; manufacturer: adobe; price: 449.99,title: adobe after effects professional 7 software for windows effects software; manufacturer: nan; price: 999.0,adobe acrobat 7.0 professional,adobe after effects professional 7 software for windows effects software,0_1,6
333,2154,0,0,title: adobe after effects 7.0 professional ( mac ); manufacturer: adobe; price: 999.0,title: adobe after effects professional 7 software for windows effects software; manufacturer: nan; price: 999.0,adobe after effects 7.0 professional ( mac ),adobe after effects professional 7 software for windows effects software,0_2,6
376,2638,1,0,title: printmaster gold v 17.0; manufacturer: nova development; price: 19.95,title: printmaster gold v 17.0 ( win 98 me 2000 xp ); manufacturer: nan; price: 19.95,printmaster gold v 17.0,printmaster gold v 17.0 ( win 98 me 2000 xp ),0_2,6
505,2162,1,0,title: norton internet security mac 3.0 [ antivirus firewall privacy controls iclean ]; manufacturer: symantec; price: 99.95,title: symantec norton internet security 3.0 software for macintosh apple & mac software; manufacturer: nan; price: 89.95,norton internet security mac 3.0 [ antivirus firewall privacy controls iclean ],symantec norton internet security 3.0 software for macintosh apple & mac software,0_2,6
600,2176,0,0,title: apple . mac 4.0 online service family pack; manufacturer: apple; price: 179.95,title: apple iwork '06 family pack software apple & mac software; manufacturer: nan; price: 99.0,apple . mac 4.0 online service family pack,apple iwork '06 family pack software apple & mac software,0_2,6
645,1843,0,0,title: microsoft virtual pc for mac 7.0 with windows xp home; manufacturer: microsoft; price: 219.99,title: s65-00393 microsoft virtual pc for mac v. 7.0 w / windows 2000 complete package -; manufacturer: nan; price: 238.48,microsoft virtual pc for mac 7.0 with windows xp home,s65-00393 microsoft virtual pc for mac v. 7.0 w / windows 2000 complete package -,0_2,6
669,2638,0,0,title: printmaster gold v 17.0; manufacturer: encore software; price: 19.99,title: printmaster gold v 17.0 ( win 98 me 2000 xp ); manufacturer: nan; price: 19.95,printmaster gold v 17.0,printmaster gold v 17.0 ( win 98 me 2000 xp ),0_2,6
799,2671,0,0,title: hp dss software v. 4.0 complete package t1936aa ua0 ); manufacturer: hewlett-packard - ( consumables ); price: 630.36,title: sony creative software vegas43 ; dvd production suite v. 7.0 complete product; manufacturer: nan; price: 262.82,hp dss software v. 4.0 complete package t1936aa ua0 ),sony creative software vegas43 ; dvd production suite v. 7.0 complete product,0_3,6
844,2269,0,0,title: now up-to-date & contact v5 .0 ( mac ); manufacturer: now software; price: nan,title: now software nuw45e1k now up-to-date & contact for windows; manufacturer: now software; price: 114.99,now up-to-date & contact v5 .0 ( mac ),now software nuw45e1k now up-to-date & contact for windows,0_3,6
875,2258,0,0,title: century software tinyterm plus v. 4.0 complete product; manufacturer: century software; price: nan,title: laplink software pafglle104000p0rtpen laplink everywhere v. 4.0 retail edition remote management complete product remote management complete product pc; manufacturer: nan; price: 39.97,century software tinyterm plus v. 4.0 complete product,laplink software pafglle104000p0rtpen laplink everywhere v. 4.0 retail edition remote management complete product remote management complete product pc,0_3,6
875,2276,0,0,title: century software tinyterm plus v. 4.0 complete product; manufacturer: century software; price: nan,title: encore software 10599 encore registry mechanic v. 5.1 complete product utility 1 user ( s ) complete product standard pc; manufacturer: nan; price: 25.97,century software tinyterm plus v. 4.0 complete product,encore software 10599 encore registry mechanic v. 5.1 complete product utility 1 user ( s ) complete product standard pc,0_3,6
875,2488,0,0,title: century software tinyterm plus v. 4.0 complete product; manufacturer: century software; price: nan,title: century software tt-1 century tinyterm v. 4.3 x emulation 1 user ( s ) english french german spanish italian polish portuguese pc; manufacturer: nan; price: 120.97,century software tinyterm plus v. 4.0 complete product,century software tt-1 century tinyterm v. 4.3 x emulation 1 user ( s ) english french german spanish italian polish portuguese pc,0_3,6
875,2671,0,0,title: century software tinyterm plus v. 4.0 complete product; manufacturer: century software; price: nan,title: sony creative software vegas43 ; dvd production suite v. 7.0 complete product; manufacturer: nan; price: 262.82,century software tinyterm plus v. 4.0 complete product,sony creative software vegas43 ; dvd production suite v. 7.0 complete product,0_3,6
1021,2141,0,0,title: resumemaker professional 12.0; manufacturer: individual software; price: 29.99,title: system mechanic 6 professional; manufacturer: nan; price: 36.9,resumemaker professional 12.0,system mechanic 6 professional,0_4,6
1021,2144,0,0,title: resumemaker professional 12.0; manufacturer: individual software; price: 29.99,title: individual software prm-r12 resumemaker professional 12.0; manufacturer: individual software; price: 29.99,resumemaker professional 12.0,individual software prm-r12 resumemaker professional 12.0,0_4,6
1093,2755,1,0,title: final cut express 2.0 upgrade; manufacturer: apple computer; price: 99.99,title: apple software m9372z/a final cut express 2.0 upgrade; manufacturer: apple software; price: 79.99,final cut express 2.0 upgrade,apple software m9372z/a final cut express 2.0 upgrade,0_4,6
1107,2016,1,0,title: pitstop pro 7.0; manufacturer: enfocus software; price: 699.0,title: enfocus software pp7.0-sg-001 pitstop pro 7.0; manufacturer: nan; price: 558.97,pitstop pro 7.0,enfocus software pp7.0-sg-001 pitstop pro 7.0,0_4,6
1115,1427,1,0,title: punch ! master landscape professional & home design v 10.0; manufacturer: punch ! software; price: 69.95,title: punch software 85100 punch!master landscape pro v10 and home design; manufacturer: nan; price: 59.97,punch ! master landscape professional & home design v 10.0,punch software 85100 punch!master landscape pro v10 and home design,0_4,6
1301,1978,0,0,title: bitdefender antivirus 10.0 [ 2 year subscription for 2 pcs ]; manufacturer: global-marketing-partners; price: 39.95,title: 01-ssc-6997 sonicwall client/server anti-virus suite subscription license 3 years 10; manufacturer: nan; price: 64740.21,bitdefender antivirus 10.0 [ 2 year subscription for 2 pcs ],01-ssc-6997 sonicwall client/server anti-virus suite subscription license 3 years 10,0_4,6
1324,2638,0,0,title: printmaster platinum v 17.0; manufacturer: encore software; price: 39.99,title: printmaster gold v 17.0 ( win 98 me 2000 xp ); manufacturer: nan; price: 19.95,printmaster platinum v 17.0,printmaster gold v 17.0 ( win 98 me 2000 xp ),0_5,1
157,3077,0,1,title: adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ); manufacturer: adobe systems inc; price: nan,title: adobe dreamweaver cs3 complete package 1 user academic cd windows; manufacturer: nan; price: 189.0,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe dreamweaver cs3 complete package 1 user academic cd windows,1_0,6
157,3213,0,1,title: adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ); manufacturer: adobe systems inc; price: nan,title: adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd; manufacturer: nan; price: 104.99,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd,1_0,6
278,3108,0,1,title: snap ! 1 001 letters ( jewel case ); manufacturer: topics entertainment; price: 19.95,title: total 3d home deluxe ( jewel case ) ( jce-th6 ); manufacturer: nan; price: 9.59,snap ! 1 001 letters ( jewel case ),total 3d home deluxe ( jewel case ) ( jce-th6 ),1_0,6
278,3110,0,1,title: snap ! 1 001 letters ( jewel case ); manufacturer: topics entertainment; price: 19.95,title: cross stitch design studio ( jewel case ) ( 8006 ); manufacturer: m-and-r-technologies; price: 9.59,snap ! 1 001 letters ( jewel case ),cross stitch design studio ( jewel case ) ( 8006 ),1_0,6
627,2056,0,1,title: reader rabbit kindergarten version 1.1; manufacturer: the learning company; price: 9.99,title: reader rabbit 1st grade; manufacturer: nan; price: 17.9,reader rabbit kindergarten version 1.1,reader rabbit 1st grade,1_0,6
733,2934,1,1,title: clickart 1.2 million dvd 2006 by broderbund; manufacturer: encore software; price: 49.99,title: encore software 10466 clickart 1.2 million dvd 2006 by broderbund; manufacturer: nan; price: 41.97,clickart 1.2 million dvd 2006 by broderbund,encore software 10466 clickart 1.2 million dvd 2006 by broderbund,1_0,6
859,1440,0,1,title: onone software intellihance pro 4.1; manufacturer: onone software; price: nan,title: onone software inc. gpp-55211 genuine fractals print pro 5 1u; manufacturer: nan; price: 274.97,onone software intellihance pro 4.1,onone software inc. gpp-55211 genuine fractals print pro 5 1u,1_1,6
859,2398,0,1,title: onone software intellihance pro 4.1; manufacturer: onone software; price: nan,title: onone software inc. mpr-40212; manufacturer: onone software inc.; price: 66.27,onone software intellihance pro 4.1,onone software inc. mpr-40212,1_1,6
973,2219,0,1,title: computrace lojack for laptops : 1 year subscription; manufacturer: absolute software; price: 49.99,title: absolute software lfl-m2-12 computrace lojack for laptops 1 year license mac 10.2 or higher; manufacturer: nan; price: 44.97,computrace lojack for laptops : 1 year subscription,absolute software lfl-m2-12 computrace lojack for laptops 1 year license mac 10.2 or higher,1_1,6
975,2219,1,1,title: computrace lojack for laptops 1 year license ( mac ); manufacturer: absolute software; price: 49.95,title: absolute software lfl-m2-12 computrace lojack for laptops 1 year license mac 10.2 or higher; manufacturer: nan; price: 44.97,computrace lojack for laptops 1 year license ( mac ),absolute software lfl-m2-12 computrace lojack for laptops 1 year license mac 10.2 or higher,1_1,6
1042,1440,0,1,title: genuine fractals print pro 4.1 sharpener pro 2.0; manufacturer: onone software; price: nan,title: onone software inc. gpp-55211 genuine fractals print pro 5 1u; manufacturer: nan; price: 274.97,genuine fractals print pro 4.1 sharpener pro 2.0,onone software inc. gpp-55211 genuine fractals print pro 5 1u,1_1,6
1091,1401,1,1,title: soundtrack 1.2; manufacturer: apple; price: 199.99,title: apple software m9301z/b soundtrack v1 .2; manufacturer: apple software; price: 199.0,soundtrack 1.2,apple software m9301z/b soundtrack v1 .2,1_1,6
1091,2779,1,1,title: soundtrack 1.2; manufacturer: apple; price: 199.99,title: apple software m9301z/b soundtrack v1 .2; manufacturer: apple software; price: 199.0,soundtrack 1.2,apple software m9301z/b soundtrack v1 .2,1_2,6
1143,3108,0,1,title: crystal 3d impact ! pro 1.25 ( jewel case ); manufacturer: crystalgraphics; price: 79.0,title: total 3d home deluxe ( jewel case ) ( jce-th6 ); manufacturer: nan; price: 9.59,crystal 3d impact ! pro 1.25 ( jewel case ),total 3d home deluxe ( jewel case ) ( jce-th6 ),1_2,6
1143,3110,0,1,title: crystal 3d impact ! pro 1.25 ( jewel case ); manufacturer: crystalgraphics; price: 79.0,title: cross stitch design studio ( jewel case ) ( 8006 ); manufacturer: m-and-r-technologies; price: 9.59,crystal 3d impact ! pro 1.25 ( jewel case ),cross stitch design studio ( jewel case ) ( 8006 ),1_2,6
1187,2934,0,1,title: clickart 1.2 million 2006 dvd; manufacturer: encore software; price: nan,title: encore software 10466 clickart 1.2 million dvd 2006 by broderbund; manufacturer: nan; price: 41.97,clickart 1.2 million 2006 dvd,encore software 10466 clickart 1.2 million dvd 2006 by broderbund,1_2,6
1269,1433,1,1,title: punch 5 in 1 home design; manufacturer: punch ! software; price: 39.99,title: punch software 20100 punch ! 5 in 1 home design; manufacturer: punch software; price: 35.99,punch 5 in 1 home design,punch software 20100 punch ! 5 in 1 home design,1_2,6
1269,2085,0,1,title: punch 5 in 1 home design; manufacturer: punch ! software; price: 39.99,title: punch software 10604 concepts unlimited cad design; manufacturer: nan; price: 912.97,punch 5 in 1 home design,punch software 10604 concepts unlimited cad design,1_2,6
1269,2926,0,1,title: punch 5 in 1 home design; manufacturer: punch ! software; price: 39.99,title: punch software 41100 punch ! home design architectural series 18; manufacturer: punch software; price: 118.99,punch 5 in 1 home design,punch software 41100 punch ! home design architectural series 18,1_3,6
1269,3026,0,1,title: punch 5 in 1 home design; manufacturer: punch ! software; price: 39.99,title: punch software 90500 home design studio mac; manufacturer: punch software; price: 135.99,punch 5 in 1 home design,punch software 90500 home design studio mac,1_3,6
1287,1433,0,1,title: punch ! 5 in 1 home design; manufacturer: punch ! software; price: 39.99,title: punch software 20100 punch ! 5 in 1 home design; manufacturer: punch software; price: 35.99,punch ! 5 in 1 home design,punch software 20100 punch ! 5 in 1 home design,1_3,6
1287,2426,0,1,title: punch ! 5 in 1 home design; manufacturer: punch ! software; price: 39.99,title: punch software 14100 punch ! home design suite professional architectural 1 user ( s ) pc; manufacturer: nan; price: 59.97,punch ! 5 in 1 home design,punch software 14100 punch ! home design suite professional architectural 1 user ( s ) pc,1_3,6
1287,2926,0,1,title: punch ! 5 in 1 home design; manufacturer: punch ! software; price: 39.99,title: punch software 41100 punch ! home design architectural series 18; manufacturer: punch software; price: 118.99,punch ! 5 in 1 home design,punch software 41100 punch ! home design architectural series 18,1_3,6
1287,3026,0,1,title: punch ! 5 in 1 home design; manufacturer: punch ! software; price: 39.99,title: punch software 90500 home design studio mac; manufacturer: punch software; price: 135.99,punch ! 5 in 1 home design,punch software 90500 home design studio mac,1_3,6
438,2070,0,10,title: winway resume deluxe 11.0 network 10; manufacturer: nova development; price: nan,title: resume writer deluxe; manufacturer: nan; price: 12.9,winway resume deluxe 11.0 network 10,resume writer deluxe,10,5
466,2762,0,10,title: timbuktu remote control softwre 10 licenses for windows; manufacturer: netopia; price: nan,title: now software nuw45e1k now up-to-date & contact for windows; manufacturer: now software; price: 114.99,timbuktu remote control softwre 10 licenses for windows,now software nuw45e1k now up-to-date & contact for windows,10,5
902,2605,1,10,title: sony sound effects series vol 1 through 10; manufacturer: sony-pictures-digital-entertainment; price: nan,title: madison media software ssda3000 sony sound effects series vol 1 through 10; manufacturer: sony-pictures-digital-entertainment; price: 370.97,sony sound effects series vol 1 through 10,madison media software ssda3000 sony sound effects series vol 1 through 10,10,5
1008,3095,0,10,title: norton internet security 2008 10 user; manufacturer: symantec; price: 199.99,title: f-secure internet security 2007 3 pcs ( global marketing partners ); manufacturer: global-marketing-partners; price: 63.35,norton internet security 2008 10 user,f-secure internet security 2007 3 pcs ( global marketing partners ),10,5
1115,2960,0,10,title: punch ! master landscape professional & home design v 10.0; manufacturer: punch ! software; price: 69.95,title: home & landscape design center; manufacturer: nan; price: 8.49,punch ! master landscape professional & home design v 10.0,home & landscape design center,10,5
198,3072,0,11,title: scansoft paperport professional 11 5 user license; manufacturer: nuance communications inc.; price: 949.99,title: super solvers mission think 25 user site license; manufacturer: nan; price: 79.95,scansoft paperport professional 11 5 user license,super solvers mission think 25 user site license,11,2
249,3072,0,11,title: scansoft paperport 11 5 user license; manufacturer: nuance communications inc.; price: 474.99,title: super solvers mission think 25 user site license; manufacturer: nan; price: 79.95,scansoft paperport 11 5 user license,super solvers mission think 25 user site license,11,2
695,1548,0,1st,title: global software smart steps 1st grade windows macintosh ); manufacturer: global software; price: nan,title: smart steps 4th grade ( jc ); manufacturer: dorling-kindersley-multimedia - ( dk ); price: 11.95,global software smart steps 1st grade windows macintosh ),smart steps 4th grade ( jc ),1st,1
27,2620,0,2,title: i copy dvds 2 professional edition; manufacturer: me-too-software; price: 69.99,title: sony vegas 6 video editing software professional editing software; manufacturer: sony-pictures-digital-entertainment; price: 99.0,i copy dvds 2 professional edition,sony vegas 6 video editing software professional editing software,2_0,6
29,2002,1,2,title: family tree maker 11.2 collector 's edition; manufacturer: encore; price: 109.95,title: family tree maker 11 collector 's edition; manufacturer: nan; price: 34.9,family tree maker 11.2 collector 's edition,family tree maker 11 collector 's edition,2_0,6
109,1666,0,2,title: instant immersion french 2.0; manufacturer: topics entertainment; price: 29.99,title: instant immersion italian audio ( audio book ); manufacturer: nan; price: 19.95,instant immersion french 2.0,instant immersion italian audio ( audio book ),2_0,6
157,1696,0,2,title: adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ); manufacturer: adobe systems inc; price: nan,title: adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0; manufacturer: nan; price: 139.51,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0,2_0,6
157,3213,0,2,title: adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ); manufacturer: adobe systems inc; price: nan,title: adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd; manufacturer: nan; price: 104.99,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd,2_0,6
272,2292,0,2,title: adobe audition 2.0; manufacturer: adobe; price: 349.0,title: adobe audition 2.0 audio production software educational discount audio software for video; manufacturer: adobe-education-box; price: 148.95,adobe audition 2.0,adobe audition 2.0 audio production software educational discount audio software for video,2_0,6
274,1666,0,2,title: instant immersion italian 2.0; manufacturer: topics entertainment; price: 29.99,title: instant immersion italian audio ( audio book ); manufacturer: nan; price: 19.95,instant immersion italian 2.0,instant immersion italian audio ( audio book ),2_1,6
322,1696,0,2,title: adobe premiere pro 2.0; manufacturer: adobe; price: 849.0,title: adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0; manufacturer: nan; price: 139.51,adobe premiere pro 2.0,adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0,2_1,6
356,2810,0,2,title: ringtone media studio 2; manufacturer: laplink; price: 19.95,title: laplink software 4371 ringtone media studio; manufacturer: nan; price: 22.97,ringtone media studio 2,laplink software 4371 ringtone media studio,2_1,6
389,1666,0,2,title: instant immersion japanese 2.0; manufacturer: topics entertainment; price: 19.99,title: instant immersion italian audio ( audio book ); manufacturer: nan; price: 19.95,instant immersion japanese 2.0,instant immersion italian audio ( audio book ),2_1,6
495,2234,0,2,title: serious magic ultra2 master sets library 2 windows ); manufacturer: serious magic; price: 276.5,title: serious magic visual communicator 2 web presentation software ( windows ) presentation software; manufacturer: nan; price: 189.95,serious magic ultra2 master sets library 2 windows ),serious magic visual communicator 2 web presentation software ( windows ) presentation software,2_1,6
504,2292,0,2,title: adobe audition 2.0 upgrade; manufacturer: adobe; price: 129.0,title: adobe audition 2.0 audio production software educational discount audio software for video; manufacturer: adobe-education-box; price: 148.95,adobe audition 2.0 upgrade,adobe audition 2.0 audio production software educational discount audio software for video,2_1,6
515,1666,0,2,title: instant immersion spanish deluxe 2.0; manufacturer: topics entertainment; price: 49.99,title: instant immersion italian audio ( audio book ); manufacturer: nan; price: 19.95,instant immersion spanish deluxe 2.0,instant immersion italian audio ( audio book ),2_2,6
554,1666,0,2,title: instant immersion german deluxe 2.0; manufacturer: topics entertainment; price: 39.99,title: instant immersion italian audio ( audio book ); manufacturer: nan; price: 19.95,instant immersion german deluxe 2.0,instant immersion italian audio ( audio book ),2_2,6
556,1666,0,2,title: instant immersion italian deluxe 2.0; manufacturer: topics entertainment; price: 49.99,title: instant immersion italian audio ( audio book ); manufacturer: nan; price: 19.95,instant immersion italian deluxe 2.0,instant immersion italian audio ( audio book ),2_2,6
558,1666,0,2,title: instant immersion spanish 2.0; manufacturer: topics entertainment; price: 29.99,title: instant immersion italian audio ( audio book ); manufacturer: nan; price: 19.95,instant immersion spanish 2.0,instant immersion italian audio ( audio book ),2_2,6
599,1666,0,2,title: instant immersion french deluxe 2.0; manufacturer: topics entertainment; price: 49.99,title: instant immersion italian audio ( audio book ); manufacturer: nan; price: 19.95,instant immersion french deluxe 2.0,instant immersion italian audio ( audio book ),2_2,6
638,2324,0,2,title: apple final cut studio 2 upgrade from final cut pro ( mac ); manufacturer: apple; price: 699.0,title: lynda 02384 . com final cut pro 5 beyond the basics ( 5 macosx dvd ); manufacturer: nan; price: 63.97,apple final cut studio 2 upgrade from final cut pro ( mac ),lynda 02384 . com final cut pro 5 beyond the basics ( 5 macosx dvd ),2_2,6
687,1978,0,2,title: grisoft avg anti-virus & anti-spyware 2 year subscription; manufacturer: grisoft; price: 39.95,title: 01-ssc-6997 sonicwall client/server anti-virus suite subscription license 3 years 10; manufacturer: nan; price: 64740.21,grisoft avg anti-virus & anti-spyware 2 year subscription,01-ssc-6997 sonicwall client/server anti-virus suite subscription license 3 years 10,2_3,6
710,2565,0,2,title: marine aquarium 2.0 ( mac ); manufacturer: encore; price: 19.99,title: marine aquarium & goldfishscreen saver by encore software; manufacturer: nan; price: 18.27,marine aquarium 2.0 ( mac ),marine aquarium & goldfishscreen saver by encore software,2_3,6
890,1666,0,2,title: instant immersion japanese deluxe 2.0; manufacturer: topics entertainment; price: 39.99,title: instant immersion italian audio ( audio book ); manufacturer: nan; price: 19.95,instant immersion japanese deluxe 2.0,instant immersion italian audio ( audio book ),2_3,6
950,2222,0,2,title: apple logic pro 7.2 upgrade; manufacturer: apple; price: 299.0,title: apple/emagic logic express 7.2 software music production software; manufacturer: nan; price: 299.0,apple logic pro 7.2 upgrade,apple/emagic logic express 7.2 software music production software,2_3,6
950,2291,0,2,title: apple logic pro 7.2 upgrade; manufacturer: apple; price: 299.0,title: apple/emagic logic pro 7.2 software music production software; manufacturer: nan; price: 999.0,apple logic pro 7.2 upgrade,apple/emagic logic pro 7.2 software music production software,2_3,6
956,2222,0,2,title: apple logic pro 7.2 retail; manufacturer: apple; price: 999.0,title: apple/emagic logic express 7.2 software music production software; manufacturer: nan; price: 299.0,apple logic pro 7.2 retail,apple/emagic logic express 7.2 software music production software,2_3,6
956,2291,1,2,title: apple logic pro 7.2 retail; manufacturer: apple; price: 999.0,title: apple/emagic logic pro 7.2 software music production software; manufacturer: nan; price: 999.0,apple logic pro 7.2 retail,apple/emagic logic pro 7.2 software music production software,2_4,6
984,2234,1,2,title: serious magic visual communicator 2.0 web; manufacturer: serious magic; price: 199.99,title: serious magic visual communicator 2 web presentation software ( windows ) presentation software; manufacturer: nan; price: 189.95,serious magic visual communicator 2.0 web,serious magic visual communicator 2 web presentation software ( windows ) presentation software,2_4,6
993,1402,0,2,title: quickbooks customer manager 2.5; manufacturer: intuit; price: 79.95,title: quickbooks ( r ); manufacturer: nan; price: 103.99,quickbooks customer manager 2.5,quickbooks ( r ),2_4,6
1013,2565,0,2,title: marine aquarium 2.0 ( pc & mac ); manufacturer: encore; price: 29.99,title: marine aquarium & goldfishscreen saver by encore software; manufacturer: nan; price: 18.27,marine aquarium 2.0 ( pc & mac ),marine aquarium & goldfishscreen saver by encore software,2_4,6
1030,2247,0,2,title: final draft av 2.5 win/mac; manufacturer: final draft; price: 199.99,title: final-draft final draft 7 screen writing software mac/win screen writing software; manufacturer: nan; price: 249.95,final draft av 2.5 win/mac,final-draft final draft 7 screen writing software mac/win screen writing software,2_4,6
1113,2222,0,2,title: logic express 7.2 upgrade from logic express 6; manufacturer: apple-computer - ( direct ); price: 99.0,title: apple/emagic logic express 7.2 software music production software; manufacturer: nan; price: 299.0,logic express 7.2 upgrade from logic express 6,apple/emagic logic express 7.2 software music production software,2_4,6
1301,1978,0,2,title: bitdefender antivirus 10.0 [ 2 year subscription for 2 pcs ]; manufacturer: global-marketing-partners; price: 39.95,title: 01-ssc-6997 sonicwall client/server anti-virus suite subscription license 3 years 10; manufacturer: nan; price: 64740.21,bitdefender antivirus 10.0 [ 2 year subscription for 2 pcs ],01-ssc-6997 sonicwall client/server anti-virus suite subscription license 3 years 10,2_5,4
1329,1666,0,2,title: instant immersion translator deluxe 2.0; manufacturer: topics entertainment; price: 49.99,title: instant immersion italian audio ( audio book ); manufacturer: nan; price: 19.95,instant immersion translator deluxe 2.0,instant immersion italian audio ( audio book ),2_5,4
1330,1696,0,2,title: onone essentials for adobe photoshop elements version 2 full; manufacturer: onone software; price: 59.95,title: adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0; manufacturer: nan; price: 139.51,onone essentials for adobe photoshop elements version 2 full,adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0,2_5,4
1330,3213,0,2,title: onone essentials for adobe photoshop elements version 2 full; manufacturer: onone software; price: 59.95,title: adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd; manufacturer: nan; price: 104.99,onone essentials for adobe photoshop elements version 2 full,adobe photoshop elements 5.0 plus adobe premiere elements 3.0 â ?? with teacher resource center cd,2_5,4
12,3171,0,2005,title: microsoft sql server standard edition 2005 64 bit cd/dvd 5 client; manufacturer: microsoft; price: 1849.0,title: microsoft ( r ) project standard 2007; manufacturer: nan; price: 599.95,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft ( r ) project standard 2007,2005,3
